Code;Inbounder;Supplier;Product;ShowWeb;Preferred_service;Beschrijving_kort;Beschrijving_lang;Contact_persoon;Contact_email;Contact_phone;Klant_phone;Klant_email;Locatie_stad;Locatie_straat;Locatie_land;Datum_contact_aangepast
VENTUR;PANP;;Heartland Hotel Auckland Airport;0;Logies;;;;;;;;Auckland;;NZ;
COTSCHC;PANP;;Heartland Hotel Cotswold;0;Logies;;;;;;;;Christchurch;;NZ;
ALINZQN;PANP;;Heartland Hotel Queenstown;0;Logies;;;;;;;;Queenstown;;NZ;
HENROCK;PANP;;Henderson Park Farm Retreat;0;Logies;;;;;;;;Rockhampton;;AU;
HERDAI;PANP;;Heritage Lodge In The Daintree;0;Incl. Ontbijt;;;;;;;;Daintree NP;;AU;
HILTQUEEN;PANP;;Hilton Queenstown;0;;;;;;;;;Queenstown;;NZ;
CENAPTMEL;PANP;;Holiday Inn Melbourne Airport;0;Logies;;;;;;;;Melbourne;;AU;
 CENTROT;PANP;;Holiday Inn Rotorua;0;Logies;;;;;;;;Rotorua;;NZ;
HOLLY;PANP;;Holly Homestead B&B;0;Incl. Ontbijt;;;;;;;;Franz Josef;;NZ;
HOSCARN;PANP;;Hospitality Carnarvon;0;Logies;;;;;;;;Carnarvon;;AU;
248217;PANP;;NRMA Atherton Tablelands Holiday Park;0;Logies;;;;;;;;Atherton Tablelands;;AU;
HINPARKADL;PANP;;Hotel Grand Chancellor Adelaide;0;Logies;;;;;;;;Adelaide;;AU;
 PRESIDEN;PANP;;Hotel Grand Chancellor Auckland City;0;Logies;;;;;;;;Auckland;;NZ;
GCBNE;PANP;;Hotel Grand Chancellor Brisbane;0;Logies;;;;;;;;Brisbane;;AU;
GCHBA;PANP;;Hotel Grand Chancellor Hobart;0;Logies;;;;;;;;Hobart;;AU;
HOUGFMT;PANP;;Hougoumont Hotel;0;Incl. Ontbijt;;;;;;;;Fremantle;;AU;
HUNRESHUN;PANP;;Hunter Valley Resort;0;;;;;;;;;Pokolbin;;AU;
SHBMN0;PANP;;Huskisson Bayside Resort;0;Logies;;;;;;;;Huskisson;;AU;
SHBMN1;PANP;;Huskisson Bayside Resort;0;Logies;;;;;;;;Huskisson;;AU;
SHBMN2;PANP;;Huskisson Bayside Resort;0;Logies;;;;;;;;Huskisson;;AU;
HYAPER;PANP;;Hyatt Regency Perth;0;;;;;;;;;Perth;;AU;
 IBIADL;PANP;;Ibis Adelaide;0;Logies;;;;;;;;Adelaide;;AU;
FORAKL;PANP;;Ibis Budget Auckland Central;0;Logies;;;;;;;;Auckland;;NZ;
IBISCHRISCHC;PANP;;Ibis Christchurch;0;Logies;;;;;;;;Christchurch;;NZ;
 IBISMEL;PANP;;Ibis Melbourne Hotel And Apartments;0;Logies;;;;;;;;Melbourne;;AU;
IBISPER;PANP;;Ibis Perth;0;Logies;;;;;;;;Perth;;AU;
ISBBNE;PANP;;Ibis Styles Brisbane Elizabeth Street;0;Logies;;;;;;;;Brisbane;;AU;
 IBSHBA;PANP;;Ibis Styles Hobart;0;Logies;;;;;;;;Hobart;;AU;
ACCIBISINV;PANP;;Ibis Styles Invercargill;0;Logies;;;;;;;;Invercargill;;NZ;
 MERKNX;PANP;;Ibis Styles Kununurra;0;Logies;;;;;;;;Kununurra;;AU;
 IBISAPTSYD;PANP;;Ibis Sydney Airport;0;Logies;;;;;;;;Sydney;;AU;
 IBISWLG;PANP;;Ibis Wellington;0;Logies;;;;;;;;Wellington;;NZ;
BHPBYR;PANP;;Ingenia Holidays Byron Bay;0;Logies;;;;;;;;Byron Bay;;AU;
 ISLMAG;PANP;;Island Leisure Resort;0;Incl. Ontbijt;;;;;;;;Magnetic Island;;AU;
JAMEWLG;PANP;;James Cook Hotel Grand Chancellor;0;Logies;;;;;;;;Wellington;;NZ;
JUCSNOAKL;PANP;;Jucy Snooze Auckland;0;Logies;;;;;;;;Auckland;;NZ;
JUCSNOZCHC;PANP;;Jucy Snooze Christchurch;0;Logies;;;;;;;;Christchurch;;NZ;
GATEWAYKKE;PANP;;Kaikoura Gateway Motor Lodge;0;Logies;;;;;;;;Kaikoura;;NZ;
KALBARRIBKLB;PANP;;Kalbarri Beach Resort;0;Logies;;;;;;;;Kalbarri;;AU;
KALBPALM;PANP;;Kalbarri Palm Resort Motel;0;Logies;;;;;;;;Kalbarri;;AU;
KAMAHITTAOTO;PANP;;Kamahi Cottage;0;Incl. Ontbijt;;;;;;;;Otorohanga;;NZ;
KANGAROO1;PANP;;Kangaroo Island Seafront Resort;0;Logies;;;;;;;;Penneshaw;;AU;
KANGAROO2;PANP;;Kangaroo Island Seafront Resort;0;Logies;;;;;;;;Penneshaw;;AU;
KANGAROO3;PANP;;Kangaroo Island Seafront Resort;0;Incl. Ontbijt;;;;;;;;Penneshaw;;AU;
KANGAROO4;PANP;;Kangaroo Island Seafront Resort;0;Incl. Ontbijt;;;;;;;;Penneshaw;;AU;
KANGAROO5;PANP;;Kangaroo Island Seafront Resort;0;Logies;;;;;;;;Penneshaw;;AU;
KANGAROO6;PANP;;Kangaroo Island Seafront Resort;0;Logies;;;;;;;;Penneshaw;;AU;
KANGAROO7;PANP;;Kangaroo Island Seafront Resort;0;Logies;;;;;;;;Penneshaw;;AU;
KANGAROO8;PANP;;Kangaroo Island Seafront Resort;0;Incl. Ontbijt;;;;;;;;Penneshaw;;AU;
KANGAROO9;PANP;;Kangaroo Island Seafront Resort;0;Logies;;;;;;;;Penneshaw;;AU;
KARIJININKAR;PANP;;Karijini Eco Retreat;0;;;;;;;;;Karijini NP;;AU;
KARPBM;PANP;;Karri Valley Resort;0;Logies;;;;;;;;Pemberton;;AU;
KERRYNPE;PANP;;Kerry Lodge B&B;0;Incl. Ontbijt;;;;;;;;Napier;;NZ;
KIMIORASPKAI;PANP;;Kimi Ora Eco Resort;0;Incl. Ontbijt;;;;;;;;Kaiteriteri;;NZ;
KINGFRI;PANP;;Kingfisher Bay Resort Fraser Island;0;Logies;;;;;;;;Fraser Island;;AU;
KINGSKBJ;PANP;;Kings Canyon Resort;0;;;;;;;;;Kings Canyon;;AU;
KINGSCREEK;PANP;;Kings Creek Station;0;;;;;;;;;Kings Canyon;;AU;
KINGTEU;PANP;;Kingsgate Hotel Te Anau;0;Logies;;;;;;;;Te Anau;;NZ;
CAPELEVEQKBL;PANP;;Kooljaman At Cape Leveque;0;Logies;;;;;;;;Cape Leveque;;AU;
LADYELL;PANP;;Lady Elliot Island Eco Resort;0;Incl. Ontbijt & Diner;;;;;;;;Lady Elliot Island;;AU;
 LAKSTCL;PANP;;Lake St Clair Lodge;0;Incl. Ontbijt;;;;;;;;Lake St. Clair;;AU;
LAKETEU;PANP;;Lakefront Lodge;0;Logies;;;;;;;;Te Anau;;NZ;
LARNDUD;PANP;;Larnach Castle;0;Incl. Ontbijt;;;;;;;;Dunedin;;NZ;
PENNYROYAL;PANP;;Leisure Inn Penny Royal;0;Logies;;;;;;;;Launceston;;AU;
SPIRESATLLEU;PANP;;Leisure Inn Spires;0;Logies;;;;;;;;Leura;;AU;
 LEMOKKE;PANP;;Lemon Tree Lodge;0;Incl. Ontbijt;;;;;;;;Kaikoura;;NZ;
LILIANFELS;PANP;;Lilianfels Blue Mountains Resort And Spa;0;Logies;;;;;;;;Katoomba;;AU;
LTPLIT;PANP;;Litchfield Tourist Park;0;Logies;;;;;;;;Batchelor;;AU;
LOBSTERKIK;PANP;;Lobster Inn Motor Lodge;0;Logies;;;;;;;;Kaikoura;;NZ;
LOCHMARL;PANP;;Lochmara Lodge;0;Logies;;;;;;;;Marlborough;;NZ;
LODGE9;PANP;;Lodge 9;0;Incl. Ontbijt;;;;;;;;Tutukaka;;NZ;
LODGE10;PANP;;Lodge 9;0;Incl. Ontbijt;;;;;;;;Tutukaka;;NZ;
LODGE11;PANP;;Lodge 9;0;Incl. Ontbijt;;;;;;;;Tutukaka;;NZ;
LODGE12;PANP;;Lodge 9;0;Incl. Ontbijt;;;;;;;;Tutukaka;;NZ;
LODGE13;PANP;;Lodge 9;0;Incl. Ontbijt;;;;;;;;Tutukaka;;NZ;
LODGE14;PANP;;Lodge 9;0;Incl. Ontbijt;;;;;;;;Tutukaka;;NZ;
 BORDEAUXWRE;PANP;;Lodge Bordeaux;0;Logies;;;;;;;;Whangarei;;NZ;
MACKTWZ;PANP;;Mackenzie Country Hotel;0;Logies;;;;;;;;Twizel;;NZ;
NOVO;PANP;;Mantarays Ningaloo Resort Exmouth;0;Logies;;;;;;;;Exmouth;;AU;
PACIFICINMEL1;PANP;;Mantra 100 Exhibition Melbourne;0;Logies;;;;;;;;Melbourne;;AU;
PACIFICINMEL2;PANP;;Mantra 100 Exhibition Melbourne;0;Logies;;;;;;;;Melbourne;;AU;
PACIFICINMEL3;PANP;;Mantra 100 Exhibition Melbourne;0;Logies;;;;;;;;Melbourne;;AU;
MANTRAAQUPTD;PANP;;Mantra Aqueous On Port Douglas;0;Logies;;;;;;;;Port Douglas;;AU;
OUTRIGGE3;PANP;;Mantra Hervey Bay;0;Logies;;;;;;;;Hervey Bay;;AU;
OUTRIGGE4;PANP;;Mantra Hervey Bay;0;Logies;;;;;;;;Hervey Bay;;AU;
OUTRIGGE5;PANP;;Mantra Hervey Bay;0;Logies;;;;;;;;Hervey Bay;;AU;
OUTRIGGE6;PANP;;Mantra Hervey Bay;0;Logies;;;;;;;;Hervey Bay;;AU;
OUTRIGGE7;PANP;;Mantra Hervey Bay;0;Logies;;;;;;;;Hervey Bay;;AU;
OUTRIGGE8;PANP;;Mantra Hervey Bay;0;Logies;;;;;;;;Hervey Bay;;AU;
MANTRAERSLOR;PANP;;Mantra Lorne;0;;;;;;;;;Lorne;;AU;
 MAPWKA;PANP;;Maple Lodge;0;Incl. Ontbijt;;;;;;;;Wanaka;;NZ;
MARGARETSMGV;PANP;;Margarets Beach Resort;0;Logies;;;;;;;;Margaret River;;AU;
MARLIN;PANP;;Marlin House;0;Incl. Ontbijt;;;;;;;;Paihia;;NZ;
MATARANKA;PANP;;Mataranka Homestead;0;Logies;;;;;;;;Mataranka;;AU;
MCAULEYDUD;PANP;;Mcauley Glen Boutique B&B;0;Incl. Ontbijt;;;;;;;;Dunedin;;NZ;
MCRMICKPCN;PANP;;Mccormick House;0;Incl. Ontbijt;;;;;;;;Picton;;NZ;
 QUALITYREVCH;PANP;;McCracken Country Club;0;Logies;;;;;;;;Victor Harbour;;AU;
GROADL;PANP;;Mercure Adelaide Grosvenor;0;Logies;;;;;;;;Adelaide;;AU;
ASPASP;PANP;;Mercure Alice Springs Resort;0;Logies;;;;;;;;Alice Springs;;AU;
MERBNE;PANP;;Mercure Brisbane;0;Logies;;;;;;;;Brisbane;;AU;
GAGCROCKAK;PANP;;Mercure Kakadu Crocodile Hotel;0;Logies;;;;;;;;Jabiru;;AU;
KILODGE;PANP;;Mercure Kangaroo Island Lodge;0;Logies;;;;;;;;American River;;AU;
ABELWLG;PANP;;Mercure Wellington Abel Tasman;0;Logies;;;;;;;;Wellington;;NZ;
MERIDIANAPTD;PANP;;Meridian Port Douglas;0;Logies;;;;;;;;Port Douglas;;AU;
MERRIJIGPRF;PANP;;Merrijig Inn;0;Incl. Ontbijt;;;;;;;;Port Fairy;;AU;
MFNLODGE;PANP;;Milford Sound Lodge;0;Incl. Ontbijt;;;;;;;;Milford Sound;;NZ;
COPTMANTUO;PANP;;Millennium Hotel & Resort Taupo Manuels;0;Logies;;;;;;;;Taupo;;NZ;
MILLROT;PANP;;Millennium Rotorua;0;Logies;;;;;;;;Rotorua;;NZ;
MOUTWI;PANP;;Mountain Chalet Motels;0;Logies;;;;;;;;Twizel;;NZ;
MOTELSMON;PANP;;Mt Cook Lodge & Motels;0;Logies;;;;;;;;Mount Cook;;NZ;
MOUNTELIZKBL;PANP;;Mt Elizabeth Station;0;Incl. Ontbijt & Diner;;;;;;;;Mt Elizabeth Station;;AU;
MOUNTHARTKBL;PANP;;Mt Hart Wilderness Lodge;0;Incl. Ontbijt & Diner;;;;;;;;Mt Hart Wilderness Lodge;;AU;
MUNGUMBYCTN;PANP;;Mungumby Lodge;0;Incl. Ontbijt;;;;;;;;Cooktown;;AU;
MURCHLOG;PANP;;Murchison Lodge;0;Incl. Ontbijt;;;;;;;;Murchison;;NZ;
BAYVWCRB;PANP;;Ningaloo Coral Bay Bayview;0;Logies;;;;;;;;Coral Bay;;AU;
 NINGALOO;PANP;;Ningaloo Reef Resort Coral Bay;0;Logies;;;;;;;;Coral Bay;;AU;
NITKATH;PANP;;Nitmiluk Accommodation;0;Logies;;;;;;;;Katherine;;AU;
AUSTRA1;PANP;;Noosa Lakes Resort;0;Logies;;;;;;;;Noosa;;AU;
AUSTRA2;PANP;;Noosa Lakes Resort;0;Logies;;;;;;;;Noosa;;AU;
AUSTRA3;PANP;;Noosa Lakes Resort;0;Logies;;;;;;;;Noosa;;AU;
DARWINAIRDRW;PANP;;Novotel Darwin Airport;0;Logies;;;;;;;;Darwin;;AU;
OAKTLV;PANP;;Oak Tree Lodge B&B;0;Incl. Ontbijtproviand;;;;;;;;Philip Island;;AU;
OAKTOWE;PANP;;Oaks Brisbane Festival Suites;0;Logies;;;;;;;;Brisbane;;AU;
GOLDSBROUDAR;PANP;;Oaks Sydney Goldsbrough Suites;0;Logies;;;;;;;;Sydney;;AU;
OLDLEURADAIR;PANP;;Old Leura Dairy;0;Logies;;;;;;;;Blue Mountains;;AU;
ORARICHC;PANP;;Orari Bed And Breakfast;0;Incl. Ontbijt;;;;;;;;Christchurch;;NZ;
OREILLYS;PANP;;O'reilly's Rainforest Retreat;0;Logies;;;;;;;;Lamington NP;;AU;
ORMISTON;PANP;;Ormiston House;0;Incl. Ontbijt;;;;;;;;Strahan;;AU;
 PALMSCITYDRW;PANP;;Palms City Resort;0;;;;;;;;;Darwin;;AU;
PAPERBARKJVB;PANP;;Paperbark Camp;0;Incl. Ontbijt & Diner;;;;;;;;Jervis Bay;;AU;
PEPNELL;PANP;;Peppers Blue On Blue;0;Logies;;;;;;;;Magnetic Island;;AU;
PEPPERSMOFIN;PANP;;Peppers Moonah Links Resort;0;Logies;;;;;;;;Mornington Peninsula;;AU;
PARMAR;PANP;;Parehua Martinborough;0;Incl. Ontbijt;;;;;;;;Martinborough;;NZ;
CERVCER;PANP;;Pinnacles Edge Resort;0;Logies;;;;;;;;Cervantes;;AU;
PORTARTHUPRT;PANP;;Port Arthur Villas;0;Logies;;;;;;;;Port Arthur;;AU;
POWDNAT;PANP;;Powderhorn Chateau;0;Logies;;;;;;;;Ohakune;;NZ;
 PRAIRIE;PANP;;Prairie Hotel;0;Logies;;;;;;;;Flinders Ranges;;AU;
FORTFOSTEFOS;PANP;;Prom Country Lodge;0;Logies;;;;;;;;Foster;;AU;
PUNGWHO;PANP;;Punga Grove;0;Logies;;;;;;;;Franz Josef;;NZ;
BUNGLEBUNPRU;PANP;;Purnululu Wilderness Lodge;0;Incl. Ontbijt & Diner;;;;;;;;Bungle Bungles;;AU;
WELLINGTOWLG1;PANP;;Qt Wellington;0;Logies;;;;;;;;Wellington;;NZ;
WELLINGTOWLG2;PANP;;Qt Wellington;0;Logies;;;;;;;;Wellington;;NZ;
WELLINGTOWLG3;PANP;;Qt Wellington;0;Logies;;;;;;;;Wellington;;NZ;
WELLINGTOWLG4;PANP;;Qt Wellington;0;Logies;;;;;;;;Wellington;;NZ;
WELLINGTOWLG5;PANP;;Qt Wellington;0;Logies;;;;;;;;Wellington;;NZ;
WELLINGTOWLG6;PANP;;Qt Wellington;0;Logies;;;;;;;;Wellington;;NZ;
WELLINGTOWLG7;PANP;;Qt Wellington;0;Logies;;;;;;;;Wellington;;NZ;
WELLINGTOWLG8;PANP;;Qt Wellington;0;Logies;;;;;;;;Wellington;;NZ;
WELLINGTOWLG9;PANP;;Qt Wellington;0;Logies;;;;;;;;Wellington;;NZ;
RAIRAI;PANP;;Rainbow Ocean Palms Resort;0;Logies;;;;;;;;Rainbow Beach;;AU;
RAWNSLEY;PANP;;Rawnsley Park Station;0;Incl. Ontbijtproviand;;;;;;;;Hawker;;AU;
REEFPCV;PANP;;Reef Retreat;0;Logies;;;;;;;;Palm Cove;;AU;
RENCHC;PANP;;Rendezvous Hotel Christchurch;0;Logies;;;;;;;;Christchurch;;NZ;
STAFFORD;PANP;;Rendezvous Hotel Sydney The Rocks;0;Logies;;;;;;;;Sydney;;AU;
ROBEROB;PANP;;Robe House Bed And Breakfast;0;Incl. Ontbijtproviand;;;;;;;;Robe;;AU;
ROBERTSONROT;PANP;;Robertson House;0;Incl. Ontbijt;;;;;;;;Rotorua;;NZ;
ROBYNSNESMIM;PANP;;Robyn's Nest Boutique Resort;0;;;;;;;;;Merimbula;;AU;
ROSEGUMSWILD;ROSE;;Rose Gums Wilderness Retreat;0;Incl. Ontbijtproviand;;;;;;;;Atherton Tablelands;;AU;
RYDGCHC;PANP;;Rydges Latimer Christchurch;0;Logies;;;;;;;;Christchurch;;NZ;
OLDSYD;PANP;;Rydges Sydney Harbour;0;Logies;;;;;;;;Sydney;;AU;
HOLIDAYWEWLG;PANP;;Rydges Wellington;0;Logies;;;;;;;;wellington;;NZ;
NINGALOORLEA;PANP;;Sal Salis;0;Incl. Ontbijt, Lunch & Diner;;;;;;;;Exmouth;;AU;
BUNSAV;PANP;;Savannah Lodge;0;Incl. Ontbijt & Diner;;;;;;;;Bungle Bungles;;AU;
SEASHELLS;PANP;;Seashells Broome;0;Logies;;;;;;;;Broome;;AU;
RADCNS;PANP;;Shangri-la Hotel The Marina;0;Incl. Ontbijt;;;;;;;;Cairns;;AU;
RITZSYD;PANP;;Sir Stamford At Circular Quay;0;Logies;;;;;;;;Sydney;;AU;
STEW;PANP;;Stewarts Bay Lodge;0;Logies;;;;;;;;Port Arthur;;AU;
SUDAA;PANP;;Sudima Hotel Auckland Airport;0;Logies;;;;;;;;Auckland;;NZ;
 SUDIGRACHC;PANP;;Sudima Hotel Christchurch Airport;0;Logies;;;;;;;;Christchurch;;NZ;
LAKEPLAROT;PANP;;Sudima Hotel Lake Rotorua;0;Logies;;;;;;;;Rotorua;;NZ;
 SWBECH;PANP;;Swansea Beach Chalets;0;Logies;;;;;;;;Swansea;;AU;
 TEANAUTEU;PANP;;Te Anau Lodge;0;;;;;;;;;Te Anau;;NZ;
 THALABEACH;PANP;;Thala Beach Nature Reserve;0;Logies;;;;;;;;Port Douglas;;AU;
BALICAI;PANP;;The Balinese;0;Incl. Ontbijt;;;;;;;;Cairns;;AU;
BATTIL;PANP;;The Bryn At Tilba B&B;0;;;;;;;;;Tilba Tilba;;AU;
FURNFEARSTAR;PANP;;The Canopy Rainforest Treehouses;0;Logies;;;;;;;;Atherton Tablelands;;AU;
CARRINGTOBMT;PANP;;The Carrington;0;Incl. Ontbijt;;;;;;;;Blue Mountains;;AU;
EQUEMSP;PANP;;The Park Motel;0;Logies;;;;;;;;Motueka;;NZ;
SAVOYMEL;PANP;;The Savoy Hotel On Little Collins;0;Logies;;;;;;;;Melbourne;;AU;
SEBELNOOSA;PANP;;The Sebel Noosa;0;Logies;;;;;;;;Noosa;;AU;
ANCPI;PANP;;The Waves Apartments Cowes;0;Logies;;;;;;;;Philip Island;;AU;
TVRAIR;PANP;;Toscana Village Resort;0;Logies;;;;;;;;Airlie Beach;;AU;
HOBARTMACQUA;PANP;;Travelodge Hotel Hobart;0;Logies;;;;;;;;Hobart;;AU;
QUAHOBA;PANP;;Travelodge Hotel Hobart Airport;0;Logies;;;;;;;;Hobart;;AU;
ODGEPERTHPER;PANP;;Travelodge Hotel Perth;0;Logies;;;;;;;;Perth;;AU;
TVLWENSYD;PANP;;Travelodge Hotel Sydney;0;Logies;;;;;;;;Sydney;;AU;
VISTASYD;PANP;;Travelodge Hotel Sydney Wynyard;0;Logies;;;;;;;;Sydney;;AU;
UNDARAEXP;PANP;;Undara Lodge;0;Logies;;;;;;;;Undara;;AU;
DESAYQ;PANP;;Voyages Desert Gardens Hotel;0;;;;;;;;;Ayers Rock;;AU;
EMUAYQ;PANP;;Voyages Emu Walk Apartments;0;Logies;;;;;;;;Ayers Rock;;AU;
HOMEEAS;PANP;;Home Valley Station;0;Incl. Ontbijt;;;;;;;;Home Valley Station;;AU;
OUTBACKP;PANP;;Voyages Outback Hotel;0;Logies;;;;;;;;Ayers Rock;;AU;
SAILSAYQ;PANP;;Voyages Sails In The Desert Hotel;0;;;;;;;;;Ayers Rock;;AU;
 LOSTCAMEL;PANP;;Voyages The Lost Camel;0;Logies;;;;;;;;Ayers Rock;;AU;
WALHALLASWAL;PANP;;Walhalla's Star Hotel;0;Incl. Ontbijt & Diner;;;;;;;;Walhalla;;AU;
WAVEROCKHYD;PANP;;Wave Rock Motel;0;Logies;;;;;;;;Hyden;;AU;
WAVLAKE;PANP;;Waverley House Cottages;0;Incl. Ontbijtproviand;;;;;;;;Lakes Entrance;;AU;
WILLIAMCRWIL;PANP;;William Creek Hotel;0;Logies;;;;;;;;William Creek;;AU;
ARKABA;PANP;;Wilpena Pound Resort;0;;;;;;;;;Flinders Ranges;;AU;
 WILSTID;PANP;;Wilsons Promontory National Park - Wilderness Retreats;0;Logies;;;;;;;;Tidal River;;AU;
WITTAM;PANP;;Witches Falls Cottages;0;Incl. Ontbijtproviand;;;;;;;;Mt Tamborine;;AU;
 ZERODAVEYHBA;PANP;;Zero Davey Boutique Apartments;0;Logies;;;;;;;;Hobart;;AU;
OUTBACKL;PANP;;Voyages Outback Lodge;0;Logies;;;;;;;;Ayers Rock;;AU;
HERMMON;PANP;;The Hermitage;0;Logies;;;;;;;;Mount Cook;;NZ;
